iter	Passed	Remaining
0	1	99
1	1	92
2	2	91
3	3	93
4	4	92
5	5	91
6	7	94
7	8	92
8	8	90
9	9	86
10	10	85
11	11	84
12	12	84
13	13	83
14	14	82
15	15	81
16	16	81
17	17	81
18	18	80
19	19	79
20	20	78
21	21	76
22	22	75
23	23	74
24	24	73
25	25	71
26	26	70
27	27	69
28	28	69
29	29	68
30	30	68
31	31	66
32	32	65
33	33	64
34	34	63
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	26
73	71	25
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
